country_code,year,political_stability,gdp_per_capita
BHS,2018,0.7130765,32642.3353203452
BHS,2019,0.6927555,33640.3369861278
BHS,2020,0.7133519,26178.7537607708
BHS,2021,0.7434332,30367.8605757708
BHS,2022,0.8592816,34957.1613279737
BIH,2015,-0.2551002,4662.25869219448
BIH,2016,-0.3709896,4928.5665903114
BIH,2017,-0.3110983,5345.01978766473
BIH,2018,-0.2895156,6047.84707207392
BIH,2019,-0.309193899999999,6122.37541352353
BIH,2020,-0.2690285,6130.31187968266
BIH,2021,-0.310701599999999,7295.34378682258
BIH,2022,-0.248056399999999,7655.59421024383
BLR,2015,0.1165415,5967.05595058777
BLR,2016,0.2027723,5039.77560949445
BLR,2017,0.0265511,5785.54491935194
BLR,2018,0.2676565,6360.037502312
BLR,2019,0.4258145,6837.77339645635
BLR,2020,-0.818298499999999,6542.85579976768
BLR,2021,-0.616372399999999,7489.71894713888
BLR,2022,-0.6168791,7994.64806074889
BLZ,2015,0.0315234,6154.62264230369
BLZ,2016,0.02715,6140.86713919469
BLZ,2017,0.0274572,6071.85451846453
BLZ,2018,0.0296183,6011.99036888587
BLZ,2019,0.1334022,6171.61449761423
BLZ,2020,0.6026689,5238.54078175696
BLZ,2021,0.3568757,6142.98930557031
BLZ,2022,0.7353533,7068.21728043145
BMU,2015,0.8160725,104855.366822135
BMU,2016,0.8121773,108747.356144305
BMU,2017,0.8126545,112339.425587467
BMU,2018,0.9762284,113204.82210838
BMU,2019,0.977236,115798.040775578
BMU,2020,0.9766825,106976.546239632
BMU,2021,0.974511,112765.08167306
BMU,2022,0.9782486,121613.939983629
BOL,2015,-0.175327899999999,2996.01289811344
BOL,2016,-0.2594315,3035.87347732132
BOL,2017,-0.2207409,4048.40119739839
BOL,2018,-0.1913596,4206.8552936661
BOL,2019,-0.7539613,4203.15492855788
BOL,2020,-0.3855901,3580.96761778303
BOL,2021,-0.2859636,4010.76053686204
BOL,2022,-0.170608899999999,4219.46113742445
BRA,2015,-0.4959054,8936.1955889444
BRA,2016,-0.5263958,8836.28546025694
